rank	#adducts	#predictedFPs	ConfidenceScore	CSI:FingerIDScore	ZodiacScore	SiriusScore	molecularFormula	adduct	InChIkey2D	InChI	name	smiles	xlogp	pubchemids	links	dbflags	ionMass	retentionTimeInSeconds	id
11	1	1	N/A	-265.03902496905596	0.864321608040201	8.401496420624198	C24H52N8O2	[M + H3N + H]+	UIPBKZGYQDPIPY	InChI=1S/C24H52N8O2/c25-17-13-14-20(21(33)15-9-5-1-3-7-11-18-30-23(26)27)32-22(34)16-10-6-2-4-8-12-19-31-24(28)29/h20-21,33H,1-19,25H2,(H,32,34)(H4,26,27,30)(H4,28,29,31)	Eulicin	C(CCCCN=C(N)N)CCCC(C(CCCN)NC(=O)CCCCCCCCN=C(N)N)O	1.39999998	10804;92238340	COCONUT:(CNP0349363);Natural Products:(UNPD85580);PubChem:(10804 92238340);SuperNatural:(SN00230487);MeSH:(10804);PubChem class - safety and toxic;PubMed	70287430	502.4556	112.187	5207_CARA_C18_pos_SIRIUS_21014
12	1	6	N/A	-120.45570564943635	0.051758793969849254	14.24740722888086	C28H52O11	[M + K]+	UXHFMUSNTTXPHZ	InChI=1S/C28H52O11/c1-3-4-5-6-7-8-9-10-11-12-13-14-15-16-24(34)39-26-25(35)23(18-30)38-28(27(26)37-20(2)31)36-19-22(33)21(32)17-29/h21-23,25-30,32-33,35H,3-19H2,1-2H3	null	CCCCCCCCCCCCCCCC(=O)OC1C(C(OC(C1OC(=O)C)OCC(C(CO)O)O)CO)O	4.5	101466281	COCONUT:(CNP0162229);Natural Products:(UNPD4715 UNPD63357);PubChem:(101466281);SuperNatural:(SN00390934 SN00287920)	3178498	603.309	50.904	7826_CARA_C18_pos_SIRIUS_9897
13	2	2	N/A	-82.58831538315482	0.9989949748743717	20.029342346326672	C12H24O	[M + H3N + H]+	DOXYUCZSYSEALW	InChI=1S/C12H24O/c1-3-5-7-8-9-11-12(13)10-6-4-2/h3-11H2,1-2H3	Dodecan-5-one	CCCCCCCC(=O)CCCC	4.39839268	29771	NORMAN:(NS00026427);PubChem class - safety and toxic;PubChem:(29771)	67371010	202.2154	32.299	3626_CARA_C18_pos_SIRIUS_33553
14	3	4	N/A	-13.235048598017803	0.28341708542713573	98.57245516828631	C39H70O5	[M - H2O + H]+	FQNNBQJKEBDPQS	InChI=1S/C39H70O5/c1-3-5-7-9-11-13-15-17-19-21-23-25-27-29-31-33-38(41)43-36-37(35-40)44-39(42)34-32-30-28-26-24-22-20-18-16-14-12-10-8-6-4-2/h11,13,17-20,37,40H,3-10,12,14-16,21-36H2,1-2H3	D-2-Oleo-1-linolein	CCCCCCCCC=CCCCCCCCC(=O)OC(CO)COC(=O)CCCCCCCC=CCC=CCCCCC	13.6999998	45039657;57369625;53478105;71728420;71771780;131708218;137699382	COCONUT:(CNP0346808);HMDB:(7247);PubChem:(45039657 57369625 53478105 71728420 71771780 131708218 137699382);SuperNatural:(SN00217083);YMDB Mine;CHEBI:(75614 75570 75569 75471);ZINC bio:(ZINC40164823);additional;PubChem class - bio and metabolites;Training Set	34380210218	601.5151	231.001	1003_CARA_C18_pos_SIRIUS_22343
15	1	1	N/A	-275.2556084177377	0.8527638190954774	38.91189684167688	C36H66O6	[M + H3N + H]+	RWXWCAZLEFJOFU	InChI=1S/C36H66O6/c1-5-8-10-12-14-16-18-20-22-24-26-28-34(37)40-30-33(31-41-36(39)32(4)7-3)42-35(38)29-27-25-23-21-19-17-15-13-11-9-6-2/h7,33H,5-6,8-31H2,1-4H3	null	CCCCCCCCCCCCCC(=O)OCC(COC(=O)C(=CC)C)OC(=O)CCCCCCCCCCCCC	13.6000004	102056109	COCONUT:(CNP0345486);Natural Products:(UNPD133228);PubChem:(102056109);SuperNatural:(SN00274735)	3178498	612.5164	156.076	1315_CARA_C18_pos_SIRIUS_28708
16	2	2	N/A	-37.45033579123869	0.9999999999999999	51.87610056492897	C24H46O2	[M + H3N + H]+	WFZQLUSOXHIVKL	InChI=1S/C24H46O2/c1-3-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22-23-24(25)26-4-2/h11-12H,3-10,13-23H2,1-2H3	Ethyl erucate	CCCCCCCCC=CCCCCCCCCCCCC(=O)OCC	10.1000004	94479;6013583;5364508;10021969	NORMAN:(NS00056346);COCONUT:(CNP0263216);Natural Products:(UNPD50950);PubChem:(94479 6013583 5364508 10021969);SuperNatural:(SN00241354);CHEBI:(84891)	3440674	384.3816	206.308	1987_CARA_C18_pos_SIRIUS_4581
17	4	2	N/A	-119.11954686596194	0.8507537688442212	13.47721889159569	C43H76O5	[M + H3N + H]+	RYBURRAWDXPPKP	InChI=1S/C43H76O5/c1-3-5-7-9-11-13-15-17-19-21-23-25-27-29-31-33-35-37-42(45)47-40-41(39-44)48-43(46)38-36-34-32-30-28-26-24-22-20-18-16-14-12-10-8-6-4-2/h11,13,17-20,23,25,41,44H,3-10,12,14-16,21-22,24,26-40H2,1-2H3	Diacylglycerol(20:3n6/20:1n9)	CCCCCCCCC=CCCCCCCCCCC(=O)OC(CO)COC(=O)CCCCCCC=CCC=CCC=CCCCCC	15.1000004	53478280;134765606	COCONUT:(CNP0084131);HMDB:(7485);PubChem:(53478280 134765606);SuperNatural:(SN00217320);YMDB Mine;CHEBI:(89798);PubChem class - bio and metabolites	34379661354	690.5983	213.262	1432_CARA_C18_pos_SIRIUS_3122
18	3	4	N/A	-40.57329305534645	0.9472361809045228	86.96993505210308	C34H64O5	[M - H2O + H]+	IHIWKNWPECHDKE	InChI=1S/C34H64O5/c1-3-5-7-9-11-13-15-17-19-21-23-25-27-29-34(37)39-32(30-35)31-38-33(36)28-26-24-22-20-18-16-14-12-10-8-6-4-2/h13,15,32,35H,3-12,14,16-31H2,1-2H3	Diacylglycerol(15:0/16:1)	CCCCCCCCCCCCCCC(=O)OCC(CO)OC(=O)CCCCCCCC=CCCCCCC	12.6000004	14275233;53478003;138176795	COCONUT:(CNP0042539);HMDB:(7070);PubChem:(14275233 53478003 138176795);SuperNatural:(SN00216910);PubChem class - bio and metabolites	19922954	535.469	210.995	7079_CARA_C18_pos_SIRIUS_603
19	3	2	N/A	-194.3851064926455	0.09899497487437187	-0.24376283499980334	C24H45NO5	[M - H4O2 + H]+	HYHKJBUKZOXUSV	InChI=1S/C24H45NO5/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-22(26)25(20-18-23(27)28)21-19-24(29)30/h2-21H2,1H3,(H,27,28)(H,29,30)	N-(2-Carboxyethyl)-N-(1-oxooctadecyl)-beta-alanine	CCCCCCCCCCCCCCCCCC(=O)N(CCC(=O)O)CCC(=O)O	7.0999999	6452240	PubChem:(6452240);NORMAN:(NS00032125)	262146	392.312	108.206	854_CARA_C18_pos_SIRIUS_5168
20	1	1	N/A	-142.60914762358624	0.9994974874371859	38.03992651285503	C24H42O13	[M + H3N + H]+	VEGNIXCUDMQGFZ	InChI=1S/C24H42O13/c25-17(2-29-7-20(33-14-24-16-37-24)8-31-10-22-12-35-22)1-27-5-19(32-13-23-15-36-23)6-28-3-18(26)4-30-9-21-11-34-21/h17-26H,1-16H2	1,19-Bis(oxiranyl)-8,16-bis(oxiranylmethoxy)-2,6,10,14,18-pentaoxanonadecane-4,12-diol	C1C(O1)COCC(COCC(COCC(COCC(COCC2CO2)OCC3CO3)O)OCC4CO4)O	-3.0999999	113595	PubChem:(113595);NORMAN:(NS00065340)	262146	556.2974	20.482	3781_CARA_C18_pos_SIRIUS_29991
21	2	2	N/A	-94.65614433562298	0.9999999999999999	21.252872442691125	C38H77NO3	[M + H]+	OGWKBOGOKYSQSD	InChI=1S/C38H77NO3/c1-3-5-7-9-11-13-15-17-19-21-23-25-27-29-31-33-37(41)36(35-40)39-38(42)34-32-30-28-26-24-22-20-18-16-14-12-10-8-6-4-2/h36-37,40-41H,3-35H2,1-2H3,(H,39,42)	N-stearoyl-C20-sphinganine	CCCCCCCCCCCCCCCCCC(C(CO)NC(=O)CCCCCCCCCCCCCCCCC)O	15.5	21259879;70678788	PubChem:(21259879 70678788);CHEBI:(67004)	34	596.5917	247.6	3760_CARA_C18_pos_SIRIUS_1432
22	3	2	N/A	-195.02588828130058	0.3050251256281407	6.971060158739871	C35H58O6	[M - H4O2 + H]+	ITYGLICZKGWOPA	InChI=1S/C35H58O6/c1-7-22(20(2)3)9-8-21(4)26-12-13-27-25-11-10-23-18-24(14-16-34(23,5)28(25)15-17-35(26,27)6)40-33-32(39)31(38)30(37)29(19-36)41-33/h8-9,11,20-24,26-33,36-39H,7,10,12-19H2,1-6H3	(2R,3R,4S,5S,6R)-2-[[(3S,10S,13R)-17-[(E,5S)-5-ethyl-6-methylhept-3-en-2-yl]-10,13-dimethyl-2,3,4,5,6,9,11,12,14,15,16,17-dodecahydro-1H-cyclopenta[a]phenanthren-3-yl]oxy]-6-(hydroxymethyl)oxane-3,4,5-triol	CCC(C=CC(C)C1CCC2C1(CCC3C2=CCC4C3(CCC(C4)OC5C(C(C(C(O5)CO)O)O)O)C)C)C(C)C	6.69999981	12960498;12960504;12960505;11968950;21550639;25261256;73157301;86296589;102227229;101421492;101421493;101421494;101875473;101875474;101932119;101932120;117625392;124027472;129847877;133561785	COCONUT:(CNP0214668);HMDB:(33775);KNApSAcK:(29508);Natural Products:(UNPD154802 UNPD45226 UNPD138064 UNPD15609 UNPD98092 UNPD183318 UNPD216028 UNPD86020 UNPD155327 UNPD218560 UNPD126994 UNPD42718);PubChem:(12960498 12960504 12960505 11968950 21550639 25261256 73157301 86296589 102227229 101421492 101421493 101421494 101875473 101875474 101932119 101932120 117625392 124027472 129847877 133561785);SuperNatural:(SN00268181 SN00342643 SN00323480 SN00397151 SN00168584 SN00238912 SN00371869 SN00377576 SN00334041 SN00403646);PubChem class - bio and metabolites	19955738	539.4044	144.059	7463_CARA_C18_pos_SIRIUS_27493
23	3	1	N/A	-269.5747912762183	0.13618090452261306	7.433204850187394	C44H83N3O5	[M - H2O + H]+	CPSMCDQRTMYVMW	InChI=1S/C44H83N3O5/c1-3-5-7-9-11-13-15-17-19-21-23-25-27-29-31-33-41(48)45-37-39-47(43(50)35-36-44(51)52)40-38-46-42(49)34-32-30-28-26-24-22-20-18-16-14-12-10-8-6-4-2/h35-36H,3-34,37-40H2,1-2H3,(H,45,48)(H,46,49)(H,51,52)	(Z)-4-[bis[2-(octadecanoylamino)ethyl]amino]-4-oxobut-2-enoic acid	CCCCCCCCCCCCCCCCCC(=O)NCCN(CCNC(=O)CCCCCCCCCCCCCCCCC)C(=O)C=CC(=O)O	14.8999996	3023689;6366452;6433028	PubChem:(3023689 6366452 6433028);NORMAN:(NS00063955)	262146	716.6361	184.011	905_CARA_C18_pos_SIRIUS_10020
24	4	10	N/A	-70.14279112063119	0.010552763819095479	12.149827465929649	C24H46NO9P	[M - H2O + H]+	JZWNYZVVZXZRRH	InChI=1S/C24H46NO9P/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-23(27)32-18-21(26)19-33-35(30,31)34-20-22(25)24(28)29/h9-10,21-22,26H,2-8,11-20,25H2,1H3,(H,28,29)(H,30,31)	1-oleoyl-sn-glycero-3-phosphoserine	CCCCCCCCC=CCCCCCCCC(=O)OCC(COP(=O)(O)OCC(C(=O)O)N)O	2.0999999	9547099;9547102;71627199;85036846;122177490;122177508;123926152;134159930;137349977;138191247	HMDB:(61694);PubChem:(9547099 9547102 71627199 85036846 122177490 122177508 123926152 134159930 137349977 138191247);CHEBI:(74617 52649);additional;PubChem class - bio and metabolites;YMDB:(1258);Training Set;PubMed	17383530	506.2878	12.96	4340_CARA_C18_pos_SIRIUS_6676
25	2	2	N/A	-119.8530267013054	0.9999999999999999	20.10785669701518	C45H91NO5	[M + H]+	AVVHVFSPRYIMTK	InChI=1S/C45H91NO5/c1-3-5-7-9-11-13-15-17-19-20-21-22-23-25-27-29-31-33-35-37-39-43(49)45(51)46-41(40-47)44(50)42(48)38-36-34-32-30-28-26-24-18-16-14-12-10-8-6-4-2/h41-44,47-50H,3-40H2,1-2H3,(H,46,51)	(2S)-2-hydroxy-N-[(2S,3S,4R)-1,3,4-trihydroxyhenicosan-2-yl]tetracosanamide	CCCCCCCCCCCCCCCCCCCCCCC(C(=O)NC(CO)C(C(CCCCCCCCCCCCCCCCC)O)O)O	17.3999996	5321429;78385484	COCONUT:(CNP0293022);Natural Products:(UNPD162572);PubChem:(5321429 78385484);SuperNatural:(SN00393471)	3178498	726.6916	239.683	2420_CARA_C18_pos_SIRIUS_469
26	4	4	N/A	-99.45123565753859	0.9999999999999999	26.65516598576494	C22H38O	[M + H3N + H]+	HMWIHOZPGQRZLR	InChI=1S/C22H38O/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-18-21-19-16-17-20-22(21)23/h16-17,19-20,23H,2-15,18H2,1H3	2-hexadecylphenol	CCCCCCCCCCCCCCCCC1=CC=CC=C1O	8.64540291	117474	PubChem:(117474);NORMAN:(NS00027885)	262146	336.3242	89.231	1270_CARA_C18_pos_SIRIUS_1858
27	2	2	N/A	-159.41338393310164	0.9999999999999999	38.38846959255535	C36H70O5	[M + H3N + H]+	LEZKFBVFTOZLID	InChI=1S/C36H70O5/c1-3-5-7-9-11-13-15-17-18-19-21-23-25-27-29-31-36(39)41-34(32-37)33-40-35(38)30-28-26-24-22-20-16-14-12-10-8-6-4-2/h34,37H,3-33H2,1-2H3	Diacylglycerol(15:0/18:0)	CCCCCCCCCCCCCCCCCC(=O)OC(CO)COC(=O)CCCCCCCCCCCCCC	14.6000004	14275364;14275365	COCONUT:(CNP0039043);HMDB:(7071);PubChem:(14275364 14275365);SuperNatural:(SN00216911);PubChem class - bio and metabolites	19922954	600.5514	164.397	2597_CARA_C18_pos_SIRIUS_3459
28	4	4	N/A	-144.62748095554818	0.9999999999999999	83.13631908310515	C24H45NO5	[M - H4O2 + H]+	HYHKJBUKZOXUSV	InChI=1S/C24H45NO5/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-22(26)25(20-18-23(27)28)21-19-24(29)30/h2-21H2,1H3,(H,27,28)(H,29,30)	N-(2-Carboxyethyl)-N-(1-oxooctadecyl)-beta-alanine	CCCCCCCCCCCCCCCCCC(=O)N(CCC(=O)O)CCC(=O)O	7.0999999	6452240	PubChem:(6452240);NORMAN:(NS00032125)	262146	392.3127	159.705	3932_CARA_C18_pos_SIRIUS_6033
29	1	1	N/A	-61.26989472480271	0.9999999999999999	44.6614978220323	C9H20O2	[M + Na]+	ALVZNPYWJMLXKV	InChI=1S/C9H20O2/c10-8-6-4-2-1-3-5-7-9-11/h10-11H,1-9H2	nonane-1,9-diol	C(CCCCO)CCCCO	2.42527843	19835;131701137;131869423	NORMAN:(NS00030570);PubChem:(19835 131701137 131869423);MeSH:(19835);PubChem class - safety and toxic;PubMed;KEGG Mine	8657305670	183.1371	63.252	2228_CARA_C18_pos_SIRIUS_12882
30	4	4	N/A	-61.17367699434428	0.9999999999999999	7.964205398255942	C20H36O2	[M + H3N + H]+	FMMOOAYVCKXGMF	InChI=1S/C20H36O2/c1-3-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20(21)22-4-2/h8-9,11-12H,3-7,10,13-19H2,1-2H3	Mandenol	CCCCCC=CCC=CCCCCCCCC(=O)OCC	7.30000019	11001;6022805;5282184;5365672;12363975;71316633;89965936;124032198;124037379;124108768;129725244	PubChem class - food;SuperNatural:(SN00393825 SN00157308);ZINC bio:(ZINC04215860 ZINC04474575 ZINC13507204 ZINC13507206);additional;MeSH:(5282184);PubMed;NORMAN:(NS00003902);COCONUT:(CNP0139692);KNApSAcK:(30223);Natural Products:(UNPD195552 UNPD192262);PubChem:(11001 6022805 5282184 5365672 12363975 71316633 89965936 124032198 124037379 124108768 129725244);CHEBI:(31572);PubChem class - safety and toxic;Training Set	205316214	326.3046	85.621	563_CARA_C18_pos_SIRIUS_2888
31	3	3	N/A	-185.81631331315506	0.5432160804020102	5.603220225123932	C38H66O9	[M - H4O2 + H]+	XPUXIFVUABAZAP	InChI=1S/C38H66O9/c1-10-45-38(9,15-11-12-21(2)3)22-13-17-36(7)28(22)23(40)18-26-35(6)16-14-27(41)34(4,5)32(35)24(19-37(26,36)8)46-33-31(44)30(43)29(42)25(20-39)47-33/h12,22-33,39-44H,10-11,13-20H2,1-9H3	null	CCOC(C)(CCC=C(C)C)C1CCC2(C1C(CC3C2(CC(C4C3(CCC(C4(C)C)O)C)OC5C(C(C(C(O5)CO)O)O)O)C)O)C	5.19999981	102072428	COCONUT:(CNP0324679);Natural Products:(UNPD81106);PubChem:(102072428);SuperNatural:(SN00233213 SN00178097)	3178498	631.4628	218.761	33_CARA_C18_pos_SIRIUS_28871
32	4	4	N/A	-272.39016921413463	0.017085427135678392	11.734631557159593	C37H59NO3	[M - H4O2 + H]+	ZRDXZWZQUDJOCC	InChI=1S/C37H59NO3/c1-27(2)19-20-31(18-12-5-9-15-29-13-7-4-8-14-29)25-32-21-22-33(26-30-16-10-6-11-17-30)36(34(32)23-24-38)35(28(3)39)37(40)41/h5-6,10-12,16-17,21-22,27-29,31-36,39H,4,7-9,13-15,18-20,23-26,38H2,1-3H3,(H,40,41)	null	CC(C)CCC(CC=CCCC1CCCCC1)CC2C=CC(C(C2CC[NH3+])C(C(C)O)C(=O)[O-])CC3=CC=CC=C3	0.0	""	COCONUT:(CNP0078482 CNP0095620);SuperNatural:(SN00165946)	3145728	530.4356	142.225	7439_CARA_C18_pos_SIRIUS_15200
33	4	2	N/A	-492.9904253437618	0.05477386934673367	34.174308613084676	C39H62N2O6	[M + H3N + H]+	CQPFMCPJYTXVRB	InChI=1S/C39H62N2O6/c1-5-8-9-16-33(44)24-22-31-21-20-30-14-10-13-29(6-2)35(30)17-12-18-37(28(4)43)41-38(36(31)26-34(45)27-42)19-11-15-32(40-7-3)23-25-39(46)47/h10,13-14,22,24,28,32-34,37-38,40-45H,5-9,11,15-16,18-21,23,25-27H2,1-4H3,(H,46,47)	null	CCCCCC(C=CC1=C(C(NC(CC#CC2=C(CC1)C=CC=C2CC)C(C)O)CCCC(CCC(=O)O)NCC)CC(CO)O)O	7.41225672	""	COCONUT:(CNP0041807 CNP0089022)	2097152	672.4979	172.767	1022_CARA_C18_pos_SIRIUS_18522
34	1	4	N/A	-55.26061841762486	0.9884422110552765	88.44179532787595	C20H36O2	[M + Na]+	BYHLDPSVWJCXEG	InChI=1S/C20H36O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20(21)22/h7-8,10-11H,2-6,9,12-19H2,1H3,(H,21,22)	10,13-Eicosadienoic acid	CCCCCCC=CCC=CCCCCCCCCC(=O)O	7.1581974	58855002;72444876	PubChem:(58855002 72444876);COCONUT:(CNP0076699)	2097154	331.262	137.295	3269_CARA_C18_pos_SIRIUS_548
35	3	1	N/A	-474.4291124866995	0.039698492462311566	4.518633541335484	C42H62N6O5	[M - H4O2 + H]+	IICUGMSOPZLMAZ	InChI=1S/C42H62N6O5/c1-27-34(49)20-33(47-16-15-44-26-47)38-32-10-14-40-11-4-3-5-12-41(52,23-37(50)51)25-45-39(2)21-31(46-36(43)22-39)18-28-7-6-8-29(17-28)19-35(40)42(32,53)30(9-13-40)24-48(27)38/h6-9,13,15-17,26-27,30-36,38,45-46,49,52-53H,3-5,10-12,14,18-25,43H2,1-2H3,(H,50,51)/p+1	null	CC1C(CC(C2[NH+]1CC3C=CC45CCCCCC(CNC6(CC(CC7=CC(=CC=C7)CC4C3(C2CC5)O)NC(C6)N)C)(CC(=O)O)O)N8C=CN=C8)O	0.0	""	COCONUT:(CNP0098457)	2097152	695.4644	59.21	7683_CARA_C18_pos_SIRIUS_32786
36	4	1	N/A	-572.0543318491257	0.10402010050251258	31.63580039926923	C38H57N5O7S	[M - H4O2 + H]+	POBZYODNVHQLFG	InChI=1S/C38H57N5O7S/c1-9-24(4)33(41-35(46)30-17-13-14-18-42(30)7)37(47)43(8)31(23(2)3)21-32(50-26(6)44)36-40-29(22-51-36)34(45)39-28(19-25(5)38(48)49)20-27-15-11-10-12-16-27/h10-12,15-16,22-25,28,30-33H,9,13-14,17-21H2,1-8H3,(H,39,45)(H,41,46)(H,48,49)	null	CCC(C)C(C(=O)N(C)C(CC(C1=NC(=CS1)C(=O)NC(CC2=CC=CC=C2)CC(C)C(=O)O)OC(=O)C)C(C)C)NC(=O)C3CCCCN3C	3.79999995	23634457;25030341;25176601;59197580;59197629;66839733;70952760;70952776;121232374;134540331;138456077	PubChem:(23634457 25030341 25176601 59197580 59197629 66839733 70952760 70952776 121232374 134540331 138456077);PubMed;PubChem class - bio and metabolites	16777282	692.3849	50.366	2208_CARA_C18_pos_SIRIUS_24365
